precursor.m.z,m.z_Floor,retention.time.range,retention.time.range.left.boundary,RT_Floor,retention.time.range.right.boundary,product ion detection: 89,product ion detection: 103,product ion detection: 116,product ion detection: 130,product ion detection: total detected product ions,product ion intensity: 89,product ion intensity: 103,product ion intensity: 116,product ion intensity: 130,product ion intensity: intensity sum of total intensity product ions
194,194,RT: 4.04,4,4,4.1,TRUE,TRUE,TRUE,FALSE,3,53.14598465,5210.939453,703.2161865,NA,5967.301624
376,376,RT: 5.66,5.6,5.6,5.7,FALSE,FALSE,TRUE,FALSE,1,NA,NA,5956.34375,NA,5956.34375
146,146,RT: 4.42,4.4,4.4,4.5,TRUE,FALSE,TRUE,FALSE,2,3986.997314,NA,1843.169067,NA,5830.166381
166,166,RT: 7.57,7.5,7.5,7.6,FALSE,TRUE,FALSE,FALSE,1,NA,5785.916016,NA,NA,5785.916016
222,222,RT: 5.93,5.9,5.9,6,FALSE,FALSE,TRUE,FALSE,1,NA,NA,5689.029297,NA,5689.029297
120,120,RT: 4.34,4.3,4.3,4.4,FALSE,TRUE,FALSE,FALSE,1,NA,5662.96582,NA,NA,5662.96582
209,209,RT: 5.40,5.4,5.4,5.5,TRUE,FALSE,TRUE,FALSE,2,142.7131805,NA,5505.83252,NA,5648.545701
190,190,RT: 6.15,6.1,6.1,6.2,FALSE,TRUE,TRUE,FALSE,2,NA,77.25127411,5461.058594,NA,5538.309868
203,203,RT: 5.66,5.6,5.6,5.7,FALSE,FALSE,TRUE,FALSE,1,NA,NA,5424.061523,NA,5424.061523
177,177,RT: 4.34,4.3,4.3,4.4,FALSE,TRUE,FALSE,FALSE,1,NA,5402.640137,NA,NA,5402.640137
164,164,RT: 5.03,5,5,5.1,TRUE,FALSE,FALSE,FALSE,1,5391.248535,NA,NA,NA,5391.248535
166,166,RT: 4.89,4.8,4.8,4.9,FALSE,TRUE,FALSE,FALSE,1,NA,5320.296387,NA,NA,5320.296387
145,145,RT: 4.43,4.4,4.4,4.5,TRUE,TRUE,TRUE,FALSE,3,241.9009247,944.491333,4087.634766,NA,5274.027024
