precursor m/z,intensity,rawfile name,precursor scan,scan range,retention time range,retention time,retention time range left boundary,retention time range right boundary
158.4180145,436.4182434,D:\030123IndoleProductScan\T3_pos_5uL_20230301_IndoleProductScan_CRFecesPoolMix_103.raw,+ c ESI Full pr 103.100 [100.000-400.000],Scan #:827,RT: 4.18,4.18,4.1,4.2
162.0890045,527.2201538,D:\030123IndoleProductScan\T3_pos_5uL_20230301_IndoleProductScan_CRFecesPoolMix_103.raw,+ c ESI Full pr 103.100 [100.000-400.000],Scan #:827,RT: 4.18,4.18,4.1,4.2
163.6680145,31.72254372,D:\030123IndoleProductScan\T3_pos_5uL_20230301_IndoleProductScan_CRFecesPoolMix_103.raw,+ c ESI Full pr 103.100 [100.000-400.000],Scan #:827,RT: 4.18,4.18,4.1,4.2
166.4290619,9121.464844,D:\030123IndoleProductScan\T3_pos_5uL_20230301_IndoleProductScan_CRFecesPoolMix_103.raw,+ c ESI Full pr 103.100 [100.000-400.000],Scan #:827,RT: 4.18,4.18,4.1,4.2
167.2890625,340.5247192,D:\030123IndoleProductScan\T3_pos_5uL_20230301_IndoleProductScan_CRFecesPoolMix_103.raw,+ c ESI Full pr 103.100 [100.000-400.000],Scan #:827,RT: 4.18,4.18,4.1,4.2
175.5000153,59.35860825,D:\030123IndoleProductScan\T3_pos_5uL_20230301_IndoleProductScan_CRFecesPoolMix_103.raw,+ c ESI Full pr 103.100 [100.000-400.000],Scan #:827,RT: 4.18,4.18,4.1,4.2
178.3830109,212.5943146,D:\030123IndoleProductScan\T3_pos_5uL_20230301_IndoleProductScan_CRFecesPoolMix_103.raw,+ c ESI Full pr 103.100 [100.000-400.000],Scan #:827,RT: 4.18,4.18,4.1,4.2
179.3330078,281.8848877,D:\030123IndoleProductScan\T3_pos_5uL_20230301_IndoleProductScan_CRFecesPoolMix_103.raw,+ c ESI Full pr 103.100 [100.000-400.000],Scan #:827,RT: 4.18,4.18,4.1,4.2
185.2500153,378.7579346,D:\030123IndoleProductScan\T3_pos_5uL_20230301_IndoleProductScan_CRFecesPoolMix_103.raw,+ c ESI Full pr 103.100 [100.000-400.000],Scan #:827,RT: 4.18,4.18,4.1,4.2
188.3730164,158.7179565,D:\030123IndoleProductScan\T3_pos_5uL_20230301_IndoleProductScan_CRFecesPoolMix_103.raw,+ c ESI Full pr 103.100 [100.000-400.000],Scan #:827,RT: 4.18,4.18,4.1,4.2
193.4160156,94.34921265,D:\030123IndoleProductScan\T3_pos_5uL_20230301_IndoleProductScan_CRFecesPoolMix_103.raw,+ c ESI Full pr 103.100 [100.000-400.000],Scan #:827,RT: 4.18,4.18,4.1,4.2
195.9170074,262.2653198,D:\030123IndoleProductScan\T3_pos_5uL_20230301_IndoleProductScan_CRFecesPoolMix_103.raw,+ c ESI Full pr 103.100 [100.000-400.000],Scan #:827,RT: 4.18,4.18,4.1,4.2
202.2500153,634.2612305,D:\030123IndoleProductScan\T3_pos_5uL_20230301_IndoleProductScan_CRFecesPoolMix_103.raw,+ c ESI Full pr 103.100 [100.000-400.000],Scan #:827,RT: 4.18,4.18,4.1,4.2
203.279007,215.1620483,D:\030123IndoleProductScan\T3_pos_5uL_20230301_IndoleProductScan_CRFecesPoolMix_103.raw,+ c ESI Full pr 103.100 [100.000-400.000],Scan #:827,RT: 4.18,4.18,4.1,4.2
211.8360138,842.28302,D:\030123IndoleProductScan\T3_pos_5uL_20230301_IndoleProductScan_CRFecesPoolMix_103.raw,+ c ESI Full pr 103.100 [100.000-400.000],Scan #:827,RT: 4.18,4.18,4.1,4.2
216.2950439,48654.70703,D:\030123IndoleProductScan\T3_pos_5uL_20230301_IndoleProductScan_CRFecesPoolMix_103.raw,+ c ESI Full pr 103.100 [100.000-400.000],Scan #:827,RT: 4.18,4.18,4.1,4.2
217.1200562,4664.731934,D:\030123IndoleProductScan\T3_pos_5uL_20230301_IndoleProductScan_CRFecesPoolMix_103.raw,+ c ESI Full pr 103.100 [100.000-400.000],Scan #:827,RT: 4.18,4.18,4.1,4.2
218.0360565,2423.745361,D:\030123IndoleProductScan\T3_pos_5uL_20230301_IndoleProductScan_CRFecesPoolMix_103.raw,+ c ESI Full pr 103.100 [100.000-400.000],Scan #:827,RT: 4.18,4.18,4.1,4.2
218.7660675,656.8356934,D:\030123IndoleProductScan\T3_pos_5uL_20230301_IndoleProductScan_CRFecesPoolMix_103.raw,+ c ESI Full pr 103.100 [100.000-400.000],Scan #:827,RT: 4.18,4.18,4.1,4.2
220.8340149,606.7064819,D:\030123IndoleProductScan\T3_pos_5uL_20230301_IndoleProductScan_CRFecesPoolMix_103.raw,+ c ESI Full pr 103.100 [100.000-400.000],Scan #:827,RT: 4.18,4.18,4.1,4.2
224.226059,7441.328613,D:\030123IndoleProductScan\T3_pos_5uL_20230301_IndoleProductScan_CRFecesPoolMix_103.raw,+ c ESI Full pr 103.100 [100.000-400.000],Scan #:827,RT: 4.18,4.18,4.1,4.2
225.0190582,1649.643311,D:\030123IndoleProductScan\T3_pos_5uL_20230301_IndoleProductScan_CRFecesPoolMix_103.raw,+ c ESI Full pr 103.100 [100.000-400.000],Scan #:827,RT: 4.18,4.18,4.1,4.2
233.2500153,232.4363098,D:\030123IndoleProductScan\T3_pos_5uL_20230301_IndoleProductScan_CRFecesPoolMix_103.raw,+ c ESI Full pr 103.100 [100.000-400.000],Scan #:827,RT: 4.18,4.18,4.1,4.2
234.6670532,40.61569214,D:\030123IndoleProductScan\T3_pos_5uL_20230301_IndoleProductScan_CRFecesPoolMix_103.raw,+ c ESI Full pr 103.100 [100.000-400.000],Scan #:827,RT: 4.18,4.18,4.1,4.2
236.9490051,163.7413635,D:\030123IndoleProductScan\T3_pos_5uL_20230301_IndoleProductScan_CRFecesPoolMix_103.raw,+ c ESI Full pr 103.100 [100.000-400.000],Scan #:827,RT: 4.18,4.18,4.1,4.2
238.0840149,835.3445435,D:\030123IndoleProductScan\T3_pos_5uL_20230301_IndoleProductScan_CRFecesPoolMix_103.raw,+ c ESI Full pr 103.100 [100.000-400.000],Scan #:827,RT: 4.18,4.18,4.1,4.2
239.5080109,887.5921631,D:\030123IndoleProductScan\T3_pos_5uL_20230301_IndoleProductScan_CRFecesPoolMix_103.raw,+ c ESI Full pr 103.100 [100.000-400.000],Scan #:827,RT: 4.18,4.18,4.1,4.2
244.0160065,171.3872681,D:\030123IndoleProductScan\T3_pos_5uL_20230301_IndoleProductScan_CRFecesPoolMix_103.raw,+ c ESI Full pr 103.100 [100.000-400.000],Scan #:827,RT: 4.18,4.18,4.1,4.2
246.3410645,2565.569824,D:\030123IndoleProductScan\T3_pos_5uL_20230301_IndoleProductScan_CRFecesPoolMix_103.raw,+ c ESI Full pr 103.100 [100.000-400.000],Scan #:827,RT: 4.18,4.18,4.1,4.2
253.3580627,437.0352783,D:\030123IndoleProductScan\T3_pos_5uL_20230301_IndoleProductScan_CRFecesPoolMix_103.raw,+ c ESI Full pr 103.100 [100.000-400.000],Scan #:827,RT: 4.18,4.18,4.1,4.2
258,478.23,D:\030123IndoleProductScan\T3_pos_5uL_20230301_IndoleProductScan_CRFecesPoolMix_103.raw,+ c ESI Full pr 103.100 [100.000-400.000],Scan #:827,RT: 4.18,4.18,4.1,4.2
260.2470093,321.0131836,D:\030123IndoleProductScan\T3_pos_5uL_20230301_IndoleProductScan_CRFecesPoolMix_103.raw,+ c ESI Full pr 103.100 [100.000-400.000],Scan #:827,RT: 4.18,4.18,4.1,4.2
260.9089966,36.03263855,D:\030123IndoleProductScan\T3_pos_5uL_20230301_IndoleProductScan_CRFecesPoolMix_103.raw,+ c ESI Full pr 103.100 [100.000-400.000],Scan #:827,RT: 4.18,4.18,4.1,4.2
262.8330078,192.872879,D:\030123IndoleProductScan\T3_pos_5uL_20230301_IndoleProductScan_CRFecesPoolMix_103.raw,+ c ESI Full pr 103.100 [100.000-400.000],Scan #:827,RT: 4.18,4.18,4.1,4.2
265,339.76,D:\030123IndoleProductScan\T3_pos_5uL_20230301_IndoleProductScan_CRFecesPoolMix_103.raw,+ c ESI Full pr 103.100 [100.000-400.000],Scan #:827,RT: 4.18,4.18,4.1,4.2
274.4190063,485.0266113,D:\030123IndoleProductScan\T3_pos_5uL_20230301_IndoleProductScan_CRFecesPoolMix_103.raw,+ c ESI Full pr 103.100 [100.000-400.000],Scan #:827,RT: 4.18,4.18,4.1,4.2
277.4150696,732.7301025,D:\030123IndoleProductScan\T3_pos_5uL_20230301_IndoleProductScan_CRFecesPoolMix_103.raw,+ c ESI Full pr 103.100 [100.000-400.000],Scan #:827,RT: 4.18,4.18,4.1,4.2
278.5010071,1114.124756,D:\030123IndoleProductScan\T3_pos_5uL_20230301_IndoleProductScan_CRFecesPoolMix_103.raw,+ c ESI Full pr 103.100 [100.000-400.000],Scan #:827,RT: 4.18,4.18,4.1,4.2
279.5030212,911.0097046,D:\030123IndoleProductScan\T3_pos_5uL_20230301_IndoleProductScan_CRFecesPoolMix_103.raw,+ c ESI Full pr 103.100 [100.000-400.000],Scan #:827,RT: 4.18,4.18,4.1,4.2
281.1660156,45.38306427,D:\030123IndoleProductScan\T3_pos_5uL_20230301_IndoleProductScan_CRFecesPoolMix_103.raw,+ c ESI Full pr 103.100 [100.000-400.000],Scan #:827,RT: 4.18,4.18,4.1,4.2
288.0020142,473.1082153,D:\030123IndoleProductScan\T3_pos_5uL_20230301_IndoleProductScan_CRFecesPoolMix_103.raw,+ c ESI Full pr 103.100 [100.000-400.000],Scan #:827,RT: 4.18,4.18,4.1,4.2
